"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5263, 3.067719341451225e-01, 5.000000000000000e-01, 1.212174346859702e+00, 9.849574223031163e-01, 3.671546624213405e-01, 5.556237607839888e-03, -6.331287183607148e-03, 2.515527366588238e+00, 9.788242799515493e-01, 9.937731903809347e-01, 3.161099787728632e-01, -3.361225404515985e-01
5264, 3.324394788855001e-01, 5.000000000000000e-01, 1.204936730723115e+00, 9.785588744986378e-01, 3.735886472865043e-01, 5.483313618457110e-03, -9.602267303481220e-03, 2.492012037356521e+00, 9.682545148457365e-01, 9.894698623440716e-01, 3.245125953116715e-01, -5.038965897502138e-01
5265, 3.246890480723941e-01, 5.000000000000000e-01, 1.229098853801717e+00, 9.814212273855256e-01, 3.726579944458069e-01, 4.832198887260820e-03, -4.467017009417824e-03, 2.497700353228962e+00, 9.707707301366024e-01, 9.891478837508991e-01, 3.227216234843144e-01, -4.639566644983745e-01
5266, 1.344284200356921e-02, 5.000000000000000e-01, 1.228656210147304e+00, 7.327567421199704e-01, 3.149823549862169e-01, -3.945677062862246e-02, 7.243392937057708e-02, 1.865338350639660e+00, 7.171987536013511e-01, 9.787678671183458e-01, 3.795988355972100e-01, -4.488908672994429e+00
5267, 8.359331434868357e-02, 5.000000000000000e-01, 1.225761819277932e+00, 9.735118082727301e-01, 3.057777724993027e-01, 7.896125550329782e-03, -1.719929698491080e-02, 2.475809443931218e+00, 9.710413795630276e-01, 9.974623536266238e-01, 2.663070337251605e-01, -4.596606418567049e-01
5268, 6.117868742246382e-02, 5.000000000000000e-01, 1.232089595491446e+00, 9.610364469163790e-01, 2.709976076878994e-01, 7.168241579312827e-03, -2.669937355107280e-02, 2.437831547992652e+00, 9.596901364804024e-01, 9.985991057464092e-01, 2.397253882612445e-01, -6.398391034856772e-01
5269, 5.031916613965021e-02, 5.000000000000000e-01, 9.002051144861547e-01, 7.692116464187123e-01, 3.063631632386840e-01, -1.705385486419158e-02, 1.122771687147498e-02, 1.948233726593429e+00, 7.547813075937543e-01, 9.812400931627303e-01, 3.405660966412711e-01, -3.892360196924537e+00
5270, 4.272500810716286e-01, 5.000000000000000e-01, 4.409282719861038e-02, 9.461311041624748e-01, 4.469294493894128e-01, 1.404764057157099e-02, 2.669894826794003e-02, 2.396087621265610e+00, 9.160189178256253e-01, 9.681733470082829e-01, 4.066626506537361e-01, -1.333033050386901e+00
5271, 4.147152877359554e-01, 5.000000000000000e-01, 2.422394571174017e-02, 9.349129782673256e-01, 4.033219115961190e-01, 7.910051744480335e-03, 1.232606168598843e-02, 2.358060204579032e+00, 9.083795414572331e-01, 9.716193512905698e-01, 3.701303366296628e-01, -1.454292992742332e+00
5272, 4.386815407189255e-01, 5.000000000000000e-01, 1.797060685346338e-02, 9.353925776116070e-01, 4.548688069446767e-01, 9.329109075406758e-03, 2.589691927361313e-02, 2.357374953213255e+00, 8.985486637624457e-01, 9.606112826517859e-01, 4.200955794138749e-01, -1.610338670437371e+00
5273, 4.472967527678050e-01, 5.000000000000000e-01, 4.372431390934873e-01, 9.551045124932803e-01, 5.492713927923196e-01, 5.244609856376105e-02, -1.640625309483226e-04, 2.412064056299601e+00, 9.010735034315682e-01, 9.434292181065452e-01, 5.026760424796676e-01, -1.570261850292569e+00
5274, 4.363868140998767e-01, 5.000000000000000e-01, 5.285790415243947e-01, 9.551889537315694e-01, 4.923790394138248e-01, 3.822303598026890e-02, 1.142021353934174e-02, 2.408064586189045e+00, 9.121304906156233e-01, 9.549215231732608e-01, 4.472837915067226e-01, -1.394754117212329e+00
5275, 4.515985018101837e-02, 5.000000000000000e-01, 7.057511252189825e-01, 6.951276226769469e-01, 2.858932384928842e-01, -2.651924430126311e-02, 1.693443125010496e-02, 1.759186679042497e+00, 6.798732900009298e-01, 9.780553495813151e-01, 3.535965983428045e-01, -5.081376349191594e+00
5276, 4.525362419354640e-01, 5.000000000000000e-01, 6.706744010439041e-01, 9.240901340010940e-01, 5.756321849035587e-01, 3.950157755129544e-02, -3.216997296355308e-03, 2.331333974953584e+00, 8.604793338547045e-01, 9.311638575005997e-01, 5.468655700910880e-01, -2.214613748338024e+00
